Id,Title,Link
10000,"Risk of subsequent primary neoplasms in survivors of adolescent and young adult cancer (Teenage and Young Adult Cancer Survivor Study): a population-based, cohort study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6494975/
10001,Revisiting Circulating Extracellular Matrix Fragments as Disease Markers in Myelofibrosis and Related Neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10486581/
10002,Genomic profiling for clinical decision making in myeloid neoplasms and acute leukemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10488320/
10003,Radiation-response in primary fibroblasts of long-term survivors of childhood cancer with and without second primary neoplasms: the KiKme study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9450413/
10004,Second malignant neoplasms after childhood cancer: A nationwide population-based study in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6237355/
10005,Germline risk factors for second malignant neoplasms after treatment for pediatric hematologic malignancies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9820434/
10006,"Temporal trends in treatment and subsequent neoplasm risk among five-year survivors of childhood cancer, 1970-2015",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5473951/
10007,Association of Radiotherapy for Rectal Cancer and Second Gynecological Malignant Neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794669/
10008,Increased burden of familial-associated early-onset cancer risk among minority Americans compared to non-Latino Whites,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8219377/
10009,Incidence of myeloid neoplasms in Spain (2002–2013): a population-based study of the Spanish network of cancer registries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8748501/
10010,"Glycemic Index, Glycemic Load and Cancer Risk: An Updated Meta-Analysis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6835610/
10011,An Algorithmic Immunohistochemical Approach to Define Tumor Type and Assign Site of Origin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7700753/
10012,Pathogenic Germline Mutations in DNA Repair Genes in Combination With Cancer Treatment Exposures and Risk of Subsequent Neoplasms Among Long-Term Survivors of Childhood Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7430217/
10013,The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Myeloid and Histiocytic/Dendritic Neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9252913/
10014,Subsequent malignant neoplasms in the Childhood Cancer Survivor Study: Occurrence of cancer types where human papillomavirus is an established etiologic risk factor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8738100/
10015,"Incidence and survival of lymphoid neoplasms in Spain, 2002-2013: A population-based study from the Spanish Network of Cancer Registries (REDECAN)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9731832/
10016,FOXO transcription factor family in cancer and metastasis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497309/
10017,JAK‐STAT core cancer pathway: An integrative cancer interactome analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8980946/
10018,PATHOLOGIC EVALUATION AND REPORTING OF INTRADUCTAL PAPILLARY MUCINOUS NEOPLASMS (IPMNs) OF THE PANCREAS AND OTHER TUMORAL INTRAEPITHELIAL NEOPLASMS OF PANCREATOBILIARY TRACT: RECOMMENDATIONS OF VERONA CONSENSUS MEETING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4568174/
10019,European evidence-based guidelines on pancreatic cystic neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5890653/
10020,Genotyping of Transcriptomes links somatic mutations and cell identity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6782071/
10021,"Evidence for immortality and autonomy in animal cancer models is often not provided, which causes confusion on key issues of cancer biology",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086263/
10022,Neoplasms in Domestic Ruminants and Swine: A Systematic Literature Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9967503/
10023,Diagnosis and histopathologic prognostication of canine melanocytic neoplasms: A consensus of the Oncology‐Pathology Working Group,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9796073/
10024,Neoplasms Reported With Liraglutide or Placebo in People With Type 2 Diabetes: Results From the LEADER Randomized Trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6463597/
10025,"Integration of microbiology, molecular pathology, and epidemiology: a new paradigm to explore the pathogenesis of microbiome-driven neoplasms",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6509405/
10026,Evidences from a Systematic Review and Meta-Analysis Unveil the Role of MiRNA Polymorphisms in the Predisposition to Female Neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6834313/
10027,Describing and Modeling the Burden of Hospitalization of Patients With Neoplasms in Ghana Using Routine Health Data for 2012-2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9470136/
10028,Obesity and Risk for Second Malignant Neoplasms in Childhood Cancer Survivors: A Case-Control Study Utilizing the California Cancer Registry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6774883/
10029,Effects of the COVID-19 Pandemic on Cancer-Related Patient Encounters,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7444638/
10030,"International Consensus Classification of Myeloid Neoplasms and Acute Leukemias: integrating morphologic, clinical, and genomic data",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9479031/
10031,"Impact of national cancer policies on cancer survival trends and socioeconomic inequalities in England, 1996-2013: population based study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5850596/
10032,"Incidence, Risk Factors, and Mortality Associated With Second Malignant Neoplasms Among Survivors of Adolescent and Young Adult Cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563559/
10033,Discovery of a signaling feedback circuit that defines interferon responses in myeloproliferative neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8975834/
10034,"Integrative analysis of exogenous, endogenous, tumour and immune factors for precision medicine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5943183/
10035,Cancer therapy shapes the fitness landscape of clonal hematopoiesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7891089/
10036,Artificial intelligence in cancer imaging: Clinical challenges and applications,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6403009/
10037,Cancer overdiagnosis: a biological challenge and clinical dilemma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8819710/
10038,Impact of Perioperative Immunonutrition on Postoperative Outcomes in Patients with Upper Gastrointestinal Cancer: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10933766/
10039,"Global, Regional, and National Cancer Incidence, Mortality, Years of Life Lost, Years Lived With Disability, and Disability-Adjusted Life-Years for 29 Cancer Groups, 1990 to 2017: A Systematic Analysis for the Global Burden of Disease Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6777271/
10040,JAMA Oncol. 2020 May; 6(5): 789. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7146535/
10041,JAMA Oncol. 2021 Mar; 7(3): 466. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7844691/
10042,Childhood cancer mortality trends in the Americas and Australasia: An update to 2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8453533/
10043,Overview of virus and cancer relationships. Position paper,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8638760/
10044,Trends in Hospital Admissions Due to Neoplasms in England and Wales between 1999 and 2019: An Ecological Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9265694/
10045,"Incidence of lymphoid neoplasms among atomic bomb survivors by histological subtype, 1950 to 1994",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8759532/
10046,Differences in Outcomes and Factors Associated With Mortality Among Patients With SARS-CoV-2 Infection and Cancer Compared With Those Without Cancer: A Systematic Review and Meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9086843/
10047,"Nature, Nurture and cancer risks: Genetic and nutritional contributions to cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6143166/
10048,Research on the Economics of Cancer-Related Health Care: An Overview of the Review Literature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9255923/
10049,"The microbiome, genetics, and gastrointestinal neoplasms: the evolving field of molecular pathological epidemiology to analyze the tumor-immune-microbiome interaction",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8052267/
10050,"National burden of cancer in Italy, 1990–2017: a systematic analysis for the global burden of disease study 2017",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7744506/
10051,Employment status and occupational level of adult survivors of childhood cancer in Great Britain: The British childhood cancer survivor study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5434894/
10052,Second Neoplasms in Survivors of Childhood Cancer: Findings From the Childhood Cancer Survivor Study Cohort,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2738645/
10053,Natural Selection in Cancer Biology: From Molecular Snowflakes to Trait Hallmarks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287060/
10054,"Annual report to the nation on the status of cancer, part 1: National cancer statistics",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10092838/
10055,The microbiome and rise of early-onset cancers: knowledge gaps and research opportunities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10730181/
10056,"Burden of All Cancers Along With Attributable Risk Factors in China From 1990 to 2019: Comparison With Japan, European Union, and USA",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9178089/
10057,The Burden of Late Effects and Related Risk Factors in Adolescent and Young Adult Cancer Survivors: A Scoping Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8508204/
10058,"Risk, Risk Factors, and Surveillance of Subsequent Malignant Neoplasms in Survivors of Childhood Cancer: A Review",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6075849/
10059,Risks of Solid and Lymphoid Malignancies in Patients with Myeloproliferative Neoplasms: Clinical Implications,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7589412/
10060,Clinical outcomes of gastric polyps and neoplasms in patients with familial adenomatous polyposis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5339024/
10061,Role of Vitamin C in Selected Malignant Neoplasms in Women,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8876016/
10062,"Renal dysfunction, malignant neoplasms, atherosclerotic cardiovascular diseases, and sarcopenia as key outcomes observed in a three-year follow-up study using the Werner Syndrome Registry",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10449280/
10063,Disease heterogeneity and personalized prognosis in myeloproliferative neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7030948/
10064,"Changes in Chronic Medication Adherence, Costs, and Healthcare Utilization after a Cancer Diagnosis among Low-Income Patients and the Role of Patient-Centered Medical Homes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7721984/
10065,Learning Through a Pandemic: The Current State of Knowledge on COVID-19 and Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8831477/
10066,Modeling tissue-specific breakpoint proximity of structural variations from whole-genomes to identify cancer drivers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9512825/
10067,"Risk of thyroid as a first or second primary cancer. A population‐based study in Italy, 1998–2012",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8495271/
10068,Blood Pressure and Risk of Cancer in the European Prospective Investigation into Cancer and Nutrition,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7115826/
10069,Long-term adverse outcomes in survivors of childhood bone sarcoma: the British Childhood Cancer Survivor Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4580396/
10070,"SARS-CoV-2 Infection, Hospitalization, and Mortality in Adults With and Without Cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10472189/
10071,Genomic Landscape of Spitzoid Neoplasms Impacting Patient Management,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6300473/
10072,Comparison of Cancer Prevalence in Patients With Neurofibromatosis Type 1 at an Academic Cancer Center vs in the General Population From 1985 to 2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7974640/
10073,A Comparison of Late Mortality Among Survivors of Childhood Cancer in the United States and United Kingdom,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8096371/
10074,"Mutation or not, what directly establishes a neoplastic state, namely cellular immortality and autonomy, still remains unknown and should be prioritized in our research",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9330459/
10075,Somatic and germline TP53 alterations in second malignant neoplasms from pediatric cancer survivors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5570538/
10076,Classifying the evolutionary and ecological features of neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5811185/
10077,Productivity losses from short-term work absence due to neoplasms in Poland,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10853257/
10078,"Associations of Medicaid Expansion With Insurance Coverage, Stage at Diagnosis, and Treatment Among Patients With Genitourinary Malignant Neoplasms",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8134994/
10079,Evolution of the immune landscape during progression of pancreatic intraductal papillary mucinous neoplasms to invasive cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7132171/
10080,"The Spectrum of Malignant Neoplasms among Liver Transplant Recipients: Sociodemographic Factors, Mortality, and Hospital Burden",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8795812/
10081,Risks of second non-breast primaries following breast cancer in women: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9912682/
10082,Mutant PIK3CA is a targetable driver alteration in histiocytic neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10711187/
10083,AACR White Paper: Shaping the Future of Cancer Prevention – A Roadmap for Advancing Science and Public Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10344465/
10084,Malaria and risk of lymphoid neoplasms and other cancer: a nationwide population-based cohort study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7596993/
10085,Association of Obesity With Survival Outcomes in Patients With Cancer: A Systematic Review and Meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8008284/
10086,Overcoming cancer therapeutic bottleneck by drug repurposing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7331117/
10087,"Implications of a Neuronal Receptor Family, Metabotropic Glutamate Receptors, in Cancer Development and Progression",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9496915/
10088,The Cancer Microbiome: Recent Highlights and Knowledge Gaps,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8487941/
10089,Risk stratification of childhood cancer survivors necessary for evidence-based clinical long-term follow-up,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5729444/
10090,"The cancer incidence and mortality among children and adolescents during the period of 2010‐2014 in Henan Province, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6382923/
10091,Genetic Variation as a Modifier of Association between Therapeutic Exposure and Subsequent Malignant Neoplasms in Cancer Survivors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4339370/
10092,"Subsequent primary neoplasms among bone sarcoma survivors; increased risks remain after 30 years of follow-up and in the latest treatment era, a nationwide population-based study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7156510/
10093,High Hospitalization Rates in Survivors of Childhood Cancer: A Longitudinal Follow-Up Study Using Medical Record Linkage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951023/
10094,Incidence of and Risk Factors for Histologically Confirmed Solid Benign Tumors Among Long-term Survivors of Childhood Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6512289/
10095,"International incidence of childhood cancer, 2001–10: a population-based registry study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5461370/
10096,Lancet Oncol. 2017 Jun; 18(6): e301. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6891241/
10097,The Contribution of MicroRNAs to the Inflammatory and Neoplastic Characteristics of Erdheim–Chester Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7693724/
10098,"Risk of Second Primary Malignancies Among Cancer Survivors in the United States, 1992 Through 2008",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6192520/
10099,Ageing and cancer: a research gap to fill,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9490141/
10100,Risk factors and trends for HPV-associated subsequent malignant neoplasms among adolescent and young adult cancer survivors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10159883/
10101,The Epidemiology of Myeloproliferative Neoplasms in New Zealand between 2010 and 2017: Insights from the New Zealand Cancer Registry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8167767/
10102,Longitudinal Follow-Up of Adult Survivors of Ewing Sarcoma: A Report from the Childhood Cancer Survivor Study (CCSS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474122/
10103,"Malignancy prediction of cutaneous and subcutaneous neoplasms in canines using B-mode ultrasonography, Doppler, and ARFI elastography",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8722307/
10104,Subsequent Neoplasms After a Primary Tumor in Individuals With Neurofibromatosis Type 1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6839906/
10105,Association of Self-reported Presenting Symptoms With Timeliness of Help-Seeking Among Adolescents and Young Adults With Cancer in the BRIGHTLIGHT Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7489839/
10106,Comparison of overall survival of gastric neoplasms containing neuroendocrine carcinoma components with gastric adenocarcinoma: a propensity score matching study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7437076/
10107,Cancer vaccines as promising immuno-therapeutics: platforms and current progress,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8931585/
10108,Laying the groundwork for the Biobank of Rare Malignant Neoplasms at the service of the Hellenic Network of Precision Medicine on Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8878762/
10109,PARP Inhibitors and Myeloid Neoplasms: A Double-Edged Sword,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8699275/
10110,Perceptions of future health and cancer risk in adult survivors of childhood cancer: A report from the Childhood Cancer Survivor Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6108945/
10111,"The genetics of ductal adenocarcinoma of the pancreas in the year 2020: dramatic progress, but far to go",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8375585/
10112,Safety of opioid prescribing among older cancer survivors,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9377378/
10113,Targeted inhibition of mRNA translation initiation factors as a novel therapeutic strategy for mature B-cell neoplasms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7116065/
10114,"Sense of coherence, mental well-being and perceived preoperative hospital and surgery related stress in surgical patients with malignant, benign, and no neoplasms",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7693497/
