Id,Title,Link
15000,"Using Baidu Index Data to Improve Chickenpox Surveillance in Yunnan, China: Infodemiology Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10230353/
15001,The role of temperature in reported chickenpox cases from 2000 to 2011 in Japan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9151048/
15002,"The Epidemiology of Chickenpox in England, 2016–2022: An Observational Study Using General Practitioner Consultations",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10674747/
15003,Role of temperature in reported chickenpox cases in northern European countries: Denmark and Finland,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5998584/
15004,"Role of meteorological conditions in reported chickenpox cases in Wuhan and Hong Kong, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5541728/
15005,Evaluation of the effect of chickenpox vaccination on shingles epidemiology using agent-based modeling,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6015493/
15006,The burden of chickenpox disease in Sweden,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5103480/
15007,Identifying optimal vaccination scenarios to reduce varicella zoster virus transmission and reactivation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9548166/
15008,"An outbreak of chickenpox in an asylum seeker centre in Italy: outbreak investigation and validity of reported chickenpox history, December 2015–May 2016",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5718397/
15009,Multidisciplinary study of the secondary immune response in grandparents re-exposed to chickenpox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5430877/
15010,Sci Rep. 2018; 8: 10824. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6043574/
15011,Management of chickenpox in pregnant women: an Italian perspective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7101639/
15012,"Chickenpox Outbreaks in Three Refugee Camps on Mainland Greece, 2016-2017: A Retrospective Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10882556/
15013,"Burden of chickenpox complications in Poland, 2006 to 2021: A comprehensive registry-based study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10986663/
15014,Deaths from chickenpox in England and Wales 1995-7: analysis of routine mortality data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59681/
15015,New approaches to controlling an outbreak of chickenpox in a large immigration detention setting in England: the role of serological testing and mathematical modelling,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7026903/
15016,Investigation of susceptibility genes for chickenpox disease across multiple continents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9816662/
15017,"Chickenpox outbreak in a tribal and industrial zone from the Union Territory of Dadra and Nagar Haveli, India",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9134548/
15018,Nosocomial transmission of chickenpox and varicella zoster virus seroprevalence rate amongst healthcare workers in a teaching hospital in China,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6612143/
15019,Epidemiological game-theory dynamics of chickenpox vaccination in the USA and Israel,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3223620/
15020,Effectiveness and impact of a single-dose vaccine against chickenpox in the community of Madrid between 2001 and 2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6183198/
15021,Clinical Epidemiology of Chickenpox in Iraq from 2007-2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776987/
15022,Validity of a reported history of chickenpox in targeting varicella vaccination at susceptible adolescents in England,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3969712/
15023,Chickenpox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2943770/
15024,Chickenpox Associated Retinitis and Occlusive Vasculitis in a Vaccinated Child: A Case Report and Literature Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9169136/
15025,Chickenpox and Risk of Stroke: A Self-controlled Case Series Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3864501/
15026,Epidemiology of hospitalisations due to chickenpox and quality of life lost in community and hospital settings: protocol for a prospective cohort study across two countries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10069595/
15027,Exploring the Seasonal Drivers of Varicella Zoster Virus Transmission and Reactivation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8579026/
15028,Reassessment of Evidence about Coinfection of Chickenpox and Monkeypox (Mpox) in African Children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9781582/
15029,History of chickenpox in glioma risk: a report from the glioma international case–control study (GICC),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4924393/
15030,"Chickenpox, chickenpox vaccination, and shingles",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2563790/
15031,A patient with bilateral facial palsy associated with hypertension and chickenpox: learning points,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3028036/
15032,Common communicable diseases in the general population in France during the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8504745/
15033,Case report: Hospital-acquired chickenpox in a healthcare setting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10804131/
15034,Immunological Criteria for Predicting Severe and Complicated Forms of Chickenpox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8596270/
15035,Computer-Aided Detection and Classification of Monkeypox and Chickenpox Lesion in Human Subjects Using Deep Learning Framework,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9858137/
15036,Herpes Zoster Risk Reduction through Exposure to Chickenpox Patients: A Systematic Multidisciplinary Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3689818/
15037,Health Disparities in Chickenpox or Shingles in Alberta?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6975918/
15038,Declining incidence of chickenpox in the absence of universal childhood immunisation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1719669/
15039,Secular trends of chickenpox among military population in Israel in relation to introduction of varicella zoster vaccine 1979–2010,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901821/
15040,Chickenpox: treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4468609/
15041,Ultra-violet radiation is responsible for the differences in global epidemiology of chickenpox and the evolution of varicella-zoster virus as man migrated out of Africa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3094303/
15042,Immunisation against chickenpox. Pregnant women should be screened.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2549253/
15043,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2549253/
15044,"Triage of a febrile patient with a rash: a comparison of chickenpox, monkeypox, and smallpox",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9533829/
15045,Varicella-Zoster Virus Proteins in Skin Lesions: Implications for a Novel Role of ORF29p in Chickenpox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC111678/
15046,Adults still account for many deaths from chickenpox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1123733/
15047,Childhood varicella-zoster virus vaccination in Belgium: Cost-effective only in the long run or without exogenous boosting?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3903901/
15048,Chickenpox in the tropics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2549338/
15049,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2549338/
15050,Concurrent smallpox and chickenpox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366456/
15051,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366456/
15052,Multifocal necrotising fasciitis and septic shock complicating varicella infection in an adult,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3822241/
15053,BMJ Case Rep. 2013; 2013: bcr2013201984corr1. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3830391/
15054,"Varicella-zoster virus necrotising retinitis, retinal vasculitis and panuveitis following uncomplicated chickenpox in an immunocompetent child",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5893979/
15055,Acute retinal necrosis (ARN) following chickenpox in a patient of Vogt-Koyanagi-Harada (VKH) syndrome using immunosuppressants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301480/
15056,Deaths from chickenpox : Deaths from chickenpox in adults are decreasing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1122524/
15057,"Epidemiology of chickenpox in England and Wales, 1967-85",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2545295/
15058,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2545295/
15059,Evolution of Cocirculating Varicella-Zoster Virus Genotypes during a Chickenpox Outbreak in Guinea-Bissau,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4249134/
15060,Fatal chickenpox pneumonia in an asthmatic patient on oral steroids and methotrexate.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC474301/
15061,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC474301/
15062,Acute retinal necrosis as a novel complication of chickenpox in adults.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1042160/
15063,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1042160/
15064,"""Chickenpox oesophagitis"".",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1603469/
15065,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1603469/
15066,Influence of infectious disease seasonality on the performance of the outbreak detection algorithm in the China Infectious Disease Automated-alert and Response System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6011277/
15067,Reactivation of chickenpox contracted in infancy.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1511193/
15068,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1511193/
15069,Chickenpox chorioretinitis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1042262/
15070,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1042262/
15071,An outbreak of chickenpox in a military field hospital--the implications for biological warfare.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1295518/
15072,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1295518/
