Id,Title,Link
20000,Vaccines for the common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9749450/
20001,Oral antihistamine‐decongestant‐analgesic combinations for the common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8780136/
20002,Common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10324571/
20003,Predicting diagnoses from illness experiences with common cold symptoms before physician consultation: a mixed-methods research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8987796/
20004,Association between serum per- and polyfluoroalkyl substances concentrations and common cold among children and adolescents in the United States,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10250187/
20005,The Origins of the Common Cold Unit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387570/
20006,Summary,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387570/
20007,Pharmacist’s recommendations of over-the-counter treatments for the common cold - analysis of prospective cases in Poland,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8556806/
20008,Understanding the symptoms of the common cold and influenza,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185637/
20009,"Smoking, leisure-time exercise and frequency of self-reported common cold among the general population in northeastern China: a cross-sectional study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6389261/
20010,"Efficacy and safety of an antiviral Iota-Carrageenan nasal spray: a randomized, double-blind, placebo-controlled exploratory study in volunteers with early symptoms of the common cold",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2923116/
20011,Efficacy and safety of iota-carrageenan nasal spray versus placebo in early treatment of the common cold in adults: the ICICC trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4595062/
20012,Identifying socio-ecological drivers of common cold in Bhutan: a national surveillance data analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9271089/
20013,Vitamin C reduces the severity of common colds: a meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10712193/
20014,Natural Products for the Prevention and Treatment of Common Cold and Viral Respiratory Infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10220542/
20015,Vaccines for the common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6481390/
20016,Cochrane Database Syst Rev. 2022; 2022(12): CD002190. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9749450/
20017,A view from the common cold unit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7133934/
20018,The efficacy of a combination of naproxen and fexofenadine (SJP − 002) to inhibit the symptoms that are associated with viral upper respiratory tract infection: Four case reports of individuals with common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10359448/
20019,The impact of cineole treatment timing on common cold duration and symptoms: Non-randomized exploratory clinical trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10795983/
20020,Zinc acetate lozenges for the treatment of the common cold: a randomised controlled trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7045205/
20021,Early intervention with a glycerol throat spray containing cold-adapted cod trypsin after self-diagnosis of common cold: A randomised trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9255730/
20022,Antihistamines for the common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9468790/
20023,Hunting Common Cold Viruses by Some New Methods,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7109685/
20024,Zinc Supplementation Reduces Common Cold Duration among Healthy Adults: A Systematic Review of Randomized Controlled Trials with Micronutrients Supplementation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356429/
20025,Interferon prophylaxis of the common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172481/
20026,"Some recent work at the common cold unit, Salisbury",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7100670/
20027,A manual acupuncture treatment attenuates common cold and its symptoms: a case series report from South Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7147216/
20028,"Efficacy and Safety of Ganduqing Granules in Treating the Common Cold: A Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9203204/
20029,Prescription pattern analysis for antibiotics in working-age workers diagnosed with common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8608890/
20030,Interferon signaling in the nasal epithelium distinguishes among lethal and common cold respiratory viruses and is critical for viral clearance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10769301/
20031,"Common cold in Team Finland during 2018 Winter Olympic Games (PyeongChang): epidemiology, diagnosis including molecular point-of-care testing (POCT) and treatment",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6818521/
20032,Antibiotic prescription among children with common cold at a district hospital in Uganda,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10476461/
20033,"“With fever it’s the real flu I would say”: laypersons’ perception of common cold and influenza and their differences - a qualitative study in Austria, Belgium and Croatia",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6292159/
20034,BMC Infect Dis. 2019; 19: 557. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593485/
20035,"Heated, humidified air for the common cold",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6483632/
20036,Exploring health seeking behaviors for common cold management,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10392600/
20037,Potential common factors associated with predisposition to common cold in middle-aged and elderly Japanese: A community-based cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5976333/
20038,"Laypersons’ perception of common cold and influenza prevention—a qualitative study in Austria, Belgium and Croatia",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853228/
20039,Duration of the common cold and similar continuous outcomes should be analyzed on the relative scale: a case study of two zinc lozenge trials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5427521/
20040,A Real-World Study on Ge Gen Tang in Combination with Herbal Medicines for Relieving Common Cold-Associated Symptoms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9337945/
20041,Survey of potentially inappropriate prescriptions for common cold symptoms in Japan: A cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9098006/
20042,Cytokine storm–based mechanisms for extrapulmonary manifestations of SARS-CoV-2 infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10322692/
20043,Nasal decongestants in monotherapy for the common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461189/
20044,The efficacy and tolerance of intranasal interferons: studies at the Common Cold Unit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7110334/
20045,Safety and Efficacy of 0.5% Carbomer 980 Gel for Treatment of Symptoms of Common Cold: Results of 2 Randomized Trials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544708/
20046,Drugs R D. 2019 Sep; 19(3): 307. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6738354/
20047,"Safety and Efficacy Profile of Echinacea purpurea to Prevent Common Cold Episodes: A Randomized, Double-Blind, Placebo-Controlled Trial",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457740/
20048,A real-world study of quality of life following treatment with xylometazoline hydrochloride in individuals with common cold,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10878222/
