Id,Title,Link
25000,Conjunctivitis in dupilumab clinical trials,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850316/
25001,Conjunctivitis in Dupilumab Clinical Trials for Adolescents with Atopic Dermatitis or Asthma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7847457/
25002,Interventions for preventing ophthalmia neonatorum,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524318/
25003,Incidence of bacterial and non-bacterial conjunctivitis in patients with atopic dermatitis treated with dupilumab: a US multi-database cohort study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9376195/
25004,Viral Conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10057170/
25005,Cellular mechanisms and effects of IL-4 receptor blockade in experimental conjunctivitis evoked by skin inflammation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9977427/
25006,"Epidemiological Investigation and Risk Factor Analysis of Acute Hemorrhagic Conjunctivitis in Huangshi Port District, Huangshi City",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9085324/
25007,Global Associations of Air Pollution and Conjunctivitis Diseases: A Systematic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6801537/
25008,"Nonlinear effects of humidex on risk of outpatient visit for allergic conjunctivitis among children and adolescents in Shanghai, China: A time series analysis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10623378/
25009,"COVID-19 and the Human Eye: Conjunctivitis, a Lone COVID-19 Finding − A Case-Control Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8995668/
25010,Conjunctivitis: A Systematic Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431717/
25011,"Association between ambient temperature, particulate air pollution and emergency room visits for conjunctivitis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7903634/
25012,"Appropriateness of Antibiotic Prescribing for Acute Conjunctivitis: A Cross-Sectional Study at a Specialist Eye Hospital in Ghana, 2021",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9517445/
25013,"Long-term effects of meteorological factors and extreme weather on daily outpatient visits for conjunctivitis from 2013 to 2020: a time-series study in Urumqi, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10047460/
25014,Indication-prescription study for the management of conjunctivitis in a Colombian population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9247934/
25015,"Pediatric Conjunctivitis: A Review of Clinical Manifestations, Diagnosis, and Management",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10217501/
25016,"Clarifying the effect of gut microbiota on allergic conjunctivitis risk is instrumental for predictive, preventive, and personalized medicine: a Mendelian randomization analysis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10201039/
25017,Current Knowledge in Allergic Conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931656/
25018,"Clinical Age-Specific Seasonal Conjunctivitis Patterns and Their Online Detection in Twitter, Blog, Forum, and Comment Social Media Posts",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5815847/
25019,COVID-19 pandemic: Impact on the rate of viral conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801265/
25020,Association of Public Health Measures During the COVID-19 Pandemic With the Incidence of Infectious Conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8603236/
25021,The impact of the COVID-19 pandemic on pediatric acute conjunctivitis disease trends,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10656534/
25022,An Eye on COVID-19: A Meta-analysis of Positive Conjunctival Reverse Transcriptase–Polymerase Chain Reaction and SARS-CoV-2 Conjunctivitis Prevalence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8136458/
25023,"Adenovirus-associated acute conjunctivitis in Beijing, China, 2011–2013",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859447/
25024,A Clinician’s Guide to the Recognition and Management of Dupilumab-Associated Conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6890653/
25025,A Review of the Differential Diagnosis of Acute Infectious Conjunctivitis: Implications for Treatment and Management,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7075432/
25026,Google searches and detection of conjunctivitis epidemics worldwide,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338037/
25027,A qualitative evaluation of pediatric conjunctivitis medical decision making and opportunities to improve care,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10119943/
25028,Estimating the Incidence of Conjunctivitis by Comparing the Frequency of Google Search Terms With Clinical Data: Retrospective Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7970297/
25029,Correlation between air pollution and prevalence of conjunctivitis in South Korea using analysis of public big data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9203752/
25030,Direct and Indirect Costs of Infectious Conjunctivitis in a Commercially Insured Population in the United States,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7023864/
25031,Conjunctivitis in atopic dermatitis patients with and without dupilumab therapy – international eczema council survey and opinion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6619239/
25032,Ophthalmic antibiotic use for acute infectious conjunctivitis in children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109048/
25033,Antibiotic Prescription Fills for Acute Conjunctivitis Among Enrollees in a Large United States Managed Care Network,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482449/
25034,Expression levels of pro-inflammatory interleukin-8 and certain antimicrobial peptides in concurrent with bacterial conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8077019/
25035,Ocular Redness – II: Progress in Development of Therapeutics for the Management of Conjunctival Hyperemia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8328932/
25036,Content validity of a novel patient-reported and observer-reported outcomes assessment to evaluate ocular symptoms associated with infectious conjunctivitis in both adult and pediatric populations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6820993/
25037,"Incidence, clinical features and diagnosis of cicatrising conjunctivitis in Australia and New Zealand",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6189104/
25038,Treatment of Conjunctivitis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5193815/
