Id,Title,Link
55000,Does Mindfulness-Based Cognitive Therapy for Migraine Reduce Migraine-Related Disability in People with Episodic and Chronic Migraine? A Phase 2b Pilot Randomized Clinical Trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6788949/
55001,Acute and chronic management of posttraumatic headache in children: A systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9037067/
55002,Challenges and complexities in designing cluster headache prevention clinical trials: A narrative review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9325511/
55003,Headache. 2022 Jul-Aug; 62(7): 932. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9484778/
55004,Reduction in the severity and duration of headache following fremanezumab treatment in patients with episodic and chronic migraine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8362007/
55005,Use of outpatient medical care by headache patients in Germany: a population-based cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7212612/
55006,Telephone follow‐up on treatment and patient satisfaction at a Danish tertiary headache center: A prospective study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10099919/
55007,Telehealth perceptions and utilization for the delivery of headache care before and during the COVID‐19 pandemic: A mixed‐methods study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9348149/
55008,Headache in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 Infection: A Narrative Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7675458/
55009,Understanding the link between obesity and headache- with focus on migraine and idiopathic intracranial hypertension,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8504002/
55010,"Reference programme: diagnosis and treatment of headache disorders and facial pain. Danish Headache Society, 3rd edition, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8034101/
55011,Cognitive Behavioral Therapy for Pediatric Headache and Migraine: Why to Prescribe and What New Research is Critical for Advancing Integrated Biobehavioral Care,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351174/
55012,Cross-sectional evaluation of the psychometric properties of the Headache Specific Locus of Control Scale in people with migraine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6488432/
55013,Disability and Economic Loss Caused by Headache among Information Technology Workers in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8490897/
55014,Headache and pregnancy: a systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5648730/
55015,Long COVID headache,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9340759/
55016,Comparison and predictors of chronic migraine vs. new daily persistent headache presenting with a chronic migraine phenotype,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9545870/
55017,Frequency and Type of Red Flags in Patients With Covid‐19 and Headache: A Series of 104 Hospitalized Patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7436570/
55018,"The relationship of headache as a symptom to COVID‐19 survival: A systematic review and meta‐analysis of survival of 43,169 inpatients with COVID‐19",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9539239/
55019,Structured headache services as the solution to the ill-health burden of headache: 1. Rationale and description,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8293530/
55020,What are Headache Smartphone Application (App) Users Actually Looking for in Apps: a Qualitative Analysis of App Reviews to Determine a Patient Centered Approach to Headache Smartphone Apps,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8640611/
55021,American Headache Society Survey about Urgent and Emergency Management of Headache Patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347474/
55022,"Baseline sleep quality, stress and depressive symptoms and subsequent headache occurrence in a six-week prospective cohort study of patients with episodic migraine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8288442/
55023,"Characteristics and Gender Differences of Headache in the Veterans Health Administration: A National Cohort Study, Fiscal Year 2008–2019",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9651459/
55024,"The headache registry of the German Migraine and Headache Society (DMKG): baseline data of the first 1,351 patients",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248100/
55025,J Headache Pain. 2022; 23(1): 82. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9288007/
55026,"Guidelines of the International Headache Society for Clinic-Based Headache Registries, 1st Edition",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10141527/
55027,"Headache neuroimaging: a survey of current practice, barriers, and facilitators to optimal use",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9053599/
55028,COVID‐19 is a Real Headache!,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7272895/
55029,Prevalence and burden of headache in children and adolescents in Austria – a nationwide study in a representative sample of pupils aged 10–18 years,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6836380/
55030,Headache impact and socioeconomic status: findings from a study of the German Migraine and Headache Society (DMKG),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10071716/
55031,Economic Impact of Headache and Psychiatric Comorbidities on Healthcare Expenditures Among Children in the United States: A Retrospective Cross-Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6818708/
55032,"Headache: A striking prodromal and persistent symptom, predictive of COVID-19 clinical evolution",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7645597/
55033,Sentinel headache as a warning symptom of ischemic stroke,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7285795/
55034,Headache provocation by nitric oxide in men who have never experienced a headache,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9109242/
55035,Protracted headache after COVID‐19: A case series of 31 patients from a tertiary headache center,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9348335/
55036,I stay at home with headache. A survey to investigate how the lockdown for COVID-19 impacted on headache in Italian children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7684684/
55037,Diagnostic accuracy of an artificial intelligence online engine in migraine: A multi‐center study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9378575/
55038,Headache After Vaccination: An Update on Recent Clinical Trials and Real-World Reporting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9685066/
55039,Phenotypic characterization of acute headache attributed to SARS-CoV-2: An ICHD-3 validation study on 106 hospitalized patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7645601/
55040,"Health equity, care access and quality in headache – part 2",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10717448/
55041,"Wildfire smoke exposure and emergency department visits for headache: A case-crossover analysis in California, 2006–2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10066880/
55042,"The global prevalence of headache: an update, with analysis of the influences of methodological factors on prevalence estimates",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9004186/
55043,Headache as a Cardinal Symptom of Coronavirus Disease 2019: A Cross‐Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7646273/
55044,Diagnostic criteria for acute headache attributed to ischemic stroke and for sentinel headache before ischemic stroke,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8903596/
55045,Revisiting the ICHD-3 criteria for headache attributed to mild traumatic injury to the head: Insights from the Toronto Concussion Study Analysis of Acute Headaches Following Concussion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9536000/
55046,"Headache service quality: the role of specialized headache centres within structured headache services, and suggested standards and criteria as centres of excellence",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6734362/
55047,Rapid referral for headache management from emergency department to headache centre: four years data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7071765/
55048,"Anxiety, Incentives, and Adherence to Self-Monitoring on a Mobile Health Platform: a Naturalistic Longitudinal Cohort Study in People with Headache",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945490/
55049,Headache in transient ischemic attacks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6063808/
55050,Rounding Behavior in the Reporting of Headache Frequency Complicates Headache Chronification Research,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4546843/
55051,Effects of onabotulinumtoxinA treatment in chronic migraine patients with and without daily headache at baseline: results from the COMPEL Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6734507/
55052,Medication-overuse headache: a widely recognized entity amidst ongoing debate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6043466/
55053,Is prednisone still a reasonable option in the treatment of withdrawal headache in patients with chronic migraine and medication overuse headache in the age of CGRP antibodies? A narrative review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10100419/
55054,FORWARD Study: Evaluating the Comparative Effectiveness of OnabotulinumtoxinA and Topiramate for Headache Prevention in Adults With Chronic Migraine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6899480/
55055,Developing multivariable models for predicting headache improvement in patients with acute post-traumatic headache attributed to mild traumatic brain injury: A preliminary study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10316772/
55056,COVID-19 vaccination-related headache showed two different clusters in the long-term course: a prospective multicenter follow-up study (COVA-Head Study),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10541695/
55057,Rethinking headache as a global public health case model for reaching the SDG 3 HEALTH by 2030,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604921/
55058,"HMGB1, NLRP3, IL-6 and ACE2 levels are elevated in COVID-19 with headache: a window to the infection-related headache mechanism",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8358545/
55059,"Headache associated with COVID‐19: Epidemiology, characteristics, pathophysiology, and management",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9348060/
55060,One-quarter of individuals with weekly headache have never consulted a medical doctor: a Danish nationwide cross-sectional survey,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9295511/
55061,Association of diet and headache,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6854770/
