Id,Title,Link
60000,Influenza,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097467/
60001,The Ecology and Evolution of Influenza Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7328453/
60002,Influence of Host Sialic Acid Receptors Structure on the Host Specificity of Influenza Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9608321/
60003,"Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices — United States, 2022–23 Influenza Season",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9429824/
60004,Continued Circulation of Highly Pathogenic H5 Influenza Viruses in Vietnamese Live Bird Markets in 2018–2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10384249/
60005,Influenza,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9411419/
60006,Progress towards the Development of a Universal Influenza Vaccine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9415875/
60007,Antigenic characterization of influenza and SARS-CoV-2 viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8669429/
60008,"Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices, United States, 2021–22 Influenza Season",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8407757/
60009,Recalling the Future: Immunological Memory Toward Unpredictable Influenza Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6614380/
60010,Antiviral Approaches against Influenza Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10035319/
60011,Epidemic of influenza A(H1N1)pdm09 analyzed by full genome sequences and the first case of oseltamivir-resistant strain in Myanmar 2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7055873/
60012,Poor Vaccine Effectiveness against Influenza B-Related Severe Acute Respiratory Infection in a Temperate North Indian State (2019–2020): A Call for Further Data for Possible Vaccines with Closer Match,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8540586/
60013,N-Glycolylneuraminic Acid in Animal Models for Human Influenza A Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147317/
60014,"Epidemiology of influenza in West Africa after the 2009 influenza A(H1N1) pandemic, 2010–2012",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5716025/
