Id,Title,Link
65000,"Mpox (formerly monkeypox): pathogenesis, prevention, and treatment",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10751291/
65001,The prospective outcome of the monkeypox outbreak in 2022 and characterization of monkeypox disease immunobiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10391643/
65002,Front Cell Infect Microbiol. 2023; 13: 1284014. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10546416/
65003,"Public awareness, specific knowledge, and worry about mpox (monkeypox): A preliminary community-based study in Shenzhen, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9971966/
65004,"Overview of Diagnostic Methods, Disease Prevalence and Transmission of Mpox (Formerly Monkeypox) in Humans and Animal Reservoirs",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10223876/
65005,Mpox and Monkeypox Virus: Special Considerations for Athletes in Contact Sports,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9969948/
65006,Monkeypox (mpox) in immunosuppressed patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10113800/
65007,Progress and prospects on vaccine development against monkeypox infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10186953/
65008,"Molecular epidemiology, transmission and clinical features of 2022‐mpox outbreak: A systematic review",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10556267/
65009,Monkeypox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9671644/
65010,Lancet. 2022 3-9 December; 400(10367): 1926. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9714977/
65011,Pathogenicity and virulence of monkeypox at the human-animal-ecology interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10012937/
65012,Monkeypox: a review of epidemiological modelling studies and how modelling has led to mechanistic insight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10468816/
65013,"Knowledge, Attitudes, and Willingness of Healthcare Workers in Iraq’s Kurdistan Region to Vaccinate against Human Monkeypox: A Nationwide Cross-Sectional Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10747727/
65014,"Knowledge, Attitude and Associated Factors of Monkeypox Infection Among Healthcare Workers in Injibara General Hospital, Northwest Ethiopia",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10950085/
65015,Monkeypox virus is nature's wake-up call: a bird’s-eye view,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10214339/
65016,Antivirals against Monkeypox (Mpox) in Humans: An Updated Narrative Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10608433/
65017,A comprehensive review of monkeypox virus and mpox characteristics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10952103/
65018,"Perceptions and worries about monkeypox, and attitudes towards monkeypox vaccination among medical workers in China: A cross-sectional survey",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9846950/
65019,"Differential Diagnosis, Prevention, and Treatment of mpox (Monkeypox): A Review for Dermatologists",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10136400/
65020,The recent re-emergence of human monkeypox: Would it become endemic beyond Africa?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9846899/
65021,"Demographic, Epidemiologic, and Clinical Characteristics of Human Monkeypox Disease Pre- and Post-2022 Outbreaks: A Systematic Review and Meta-Analysis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045775/
65022,"Human Monkeypox: A Comprehensive Overview of Epidemiology, Pathogenesis, Diagnosis, Treatment, and Prevention Strategies",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10384102/
65023,Global Epidemiological Features of Human Monkeypox Cases and Their Associations With Social-Economic Level and International Travel Arrivals: A Systematic Review and Ecological Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9894882/
65024,Ophthalmic manifestations of monkeypox infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10391517/
65025,A Comprehensive Review on Monkeypox Viral Disease with Potential Diagnostics and Therapeutic Options,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10376530/
65026,"Knowledge, concerns, and vaccine acceptance related to Mpox (Monkeypox) among university students in North and Northeast China: An online cross-sectional study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11037288/
65027,"Human monkeypox: history, presentations, transmission, epidemiology, diagnosis, treatment, and prevention",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10397518/
65028,"Enhancing Nursing Care in Monkeypox (Mpox) Patients: Differential Diagnoses, Prevention Measures, and Therapeutic Interventions",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10551575/
65029,Mpox (Monkeypox) in Pregnancy: Viral Clade Differences and Their Associations with Varying Obstetrical and Fetal Outcomes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10458075/
65030,Mpox gastrointestinal manifestations: a systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10773419/
65031,"Monkeypox in pregnancy: virology, clinical presentation, and obstetric management",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9534101/
65032,"Current Insights into Diagnosis, Prevention Strategies, Treatment, Therapeutic Targets, and Challenges of Monkeypox (Mpox) Infections in Human Populations",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9863601/
65033,Monkeypox: a global health emergency,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10169603/
65034,Monitoring monkeypox virus in saliva and air samples in Spain: a cross-sectional study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9691259/
65035,The evolving epidemiology of monkeypox virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9547435/
65036,Knowledge of Human Mpox (Monkeypox) and Attitude towards Mpox Vaccination among Male Sex Workers in China: A Cross-Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9966706/
65037,Assessing disparities in medical students’ knowledge and attitude about monkeypox: a cross-sectional study of 27 countries across three continents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10415161/
65038,Monkeypox Virus in Animals: Current Knowledge of Viral Transmission and Pathogenesis in Wild Animal Reservoirs and Captive Animal Models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10142277/
65039,The Global Monkeypox (Mpox) Outbreak: A Comprehensive Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10303212/
65040,Prevalence of intentions to receive monkeypox vaccine. A systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10763398/
65041,Plausible reasons for the resurgence of Mpox (formerly Monkeypox): an overview,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10749502/
65042,Recent Developments in Mpox Prevention and Treatment Options,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10057056/
65043,"Emerging evidence on Monkeypox: resurgence, global burden, molecular insights, genomics and possible management",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10154632/
65044,"Multiple introductions of monkeypox virus to Ireland during the international mpox outbreak, May 2022 to October 2023",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11027473/
65045,An Updated Review on Monkeypox Viral Disease: Emphasis on Genomic Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10376458/
65046,Behavioral Intention of Receiving Monkeypox Vaccination and Undergoing Monkeypox Testing and the Associated Factors Among Young Men Who Have Sex With Men in China: Large Cross-Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10988377/
65047,Human monkeypox diagnose (HMD) strategy based on data mining and artificial intelligence techniques,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9715266/
65048,Monkeypox as a potential emerging pandemic: a discussion on future risks and preparedness in Saudi Arabia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10663316/
65049,Stigmatizing Monkeypox and COVID-19: A Comparative Framing Study of The Washington Post’s Online News,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9965175/
65050,Mpox respiratory transmission: the state of the evidence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9991082/
65051,Monkeypox Disease (MPOX) Perceptions among Healthcare Workers versus General Population during the First Month of the WHO Alert: Cross-Sectional Survey in Saudi Arabia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9785604/
65052,Mpox (monkeypox) risk and mortality associated with HIV infection: a national case–control study in Nigeria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10689363/
65053,"Human Monkeypox: Epidemiologic and Clinical Characteristics, Diagnosis, and Prevention",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9533922/
65054,"Transmission of monkeypox/mpox virus: A narrative review of environmental, viral, host, and population factors in relation to the 2022 international outbreak",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10107822/
65055,Utilizing convolutional neural networks to classify monkeypox skin lesions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10475460/
65056,Clinical Characteristics of Human Mpox (Monkeypox) in 2022: A Systematic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9861547/
65057,Monkeypox Knowledge Investigation and Knowledge Gap Analysis: An Online Cross-Sectional Survey in China,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10725750/
65058,"Perceptions, precautions, and vaccine acceptance related to monkeypox in the public in China: A cross-sectional survey",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9743792/
65059,Insights on monkeypox disease and its recent outbreak with evidence of nonsynonymous missense mutation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10357398/
65060,Knowledge and Attitude Regarding Human Monkeypox Virus Infection among Nurses: A Cross-Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10676072/
65061,"Knowledge, attitude, and practice of university students towards monkeypox in Bangladesh",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10569525/
65062,Prevalence of mpox viral DNA in cutaneous specimens of monkeypox-infected patients: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10349178/
65063,Mapping the Landscape of Health Research Priorities for Effective Pandemic Preparedness in Human Mpox Virus Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10674790/
65064,Clinical and laboratory diagnosis of monkeypox (mpox): Current status and future directions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10183700/
65065,"Health care personnel exposures to subsequently laboratory-confirmed monkeypox patients — Colorado, 2022",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9813604/
65066,"Human Monkeypox Experience in a Tertiary Level Hospital in Milan, Italy, between May and October 2022: Epidemiological Features and Clinical Characteristics",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10051371/
65067,"Monkeypox Virus: A Comprehensive Overview of Viral Pathology, Immune Response, and Antiviral Strategies",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10459537/
65068,Monkeypox: An emerging global threat during the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9352646/
65069,Monkeypox in Latin America and the Caribbean: assessment of the first 100 days of the 2022 outbreak,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10614714/
65070,New challenges in human monkeypox outside Africa: A review and case report from Italy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9528171/
65071,Use of Mpox Multiplex Serology in the Identification of Cases and Outbreak Investigations in the Democratic Republic of the Congo (DRC),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10385798/
65072,A Narrative Review on the Monkeypox Virus: An Ongoing Global Outbreak Hitting the Non-Endemic Countries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10493466/
