Id,Title,Link
70000,"Pain Bloc-R Alleviates Unresolved, Non-Pathological Aches and Discomfort in Healthy Adults—A Randomized, Double-Blind, Placebo-Controlled, Crossover Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7353407/
70001,A prognostic risk score for development and spread of chronic pain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10353938/
70002,Predictors of the transition from acute to persistent musculoskeletal pain in children and adolescents: a prospective study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393939/
70003,Organization and morphology of calcitonin gene-related peptide-immunoreactive axons in the whole mouse stomach,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10593087/
70004,Chronic Pain in Adolescence and Internalizing Mental Health Disorders: A Nationally Representative Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4939835/
70005,Widening Socioeconomic Disparities in Pain and Physical Function Among Americans Are Linked with Growing Obesity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8751296/
70006,Clinical phenotyping of youth with new-onset musculoskeletal pain: A controlled cohort study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5140689/
70007,Immigrant background and medicine use for aches: national representative study of adolescents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4366932/
70008,Topographical Organization and Morphology of Substance P (SP)-IR axons in the Whole Stomach of Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10499116/
70009,"Optimizing Placebo and Minimizing Nocebo to Reduce Pain, Catastrophizing, and Opioid Use: A Review of the Science and an Evidence-Informed Clinical Toolkit",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6175287/
70010,Neurobiological antecedents of multisite pain in children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8720318/
70011,Methods for studying naturally occurring human pain and their analogues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7130603/
70012,"Sleep problems in pain patients entering tertiary pain care: the role of pain-related anxiety, medication use, self-reported diseases, and sleep disorders",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9199106/
70013,"Important Medicinal and Food Taxa (Orders and Families) in Kenya, Based on Three Quantitative Approaches",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10005506/
70014,Internet-delivered cognitive behavioral therapy for youth with functional abdominal pain: a randomized clinical trial testing differential efficacy by patient subgroup,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8602868/
70015,Reciprocal interaction between depression and pain: results from a comprehensive bidirectional Mendelian randomization study and functional annotation analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8675051/
