Id,Title,Link
75000,A Systematic Review Analyzing the Prevalence and Circulation of Influenza Viruses in Swine Population Worldwide,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7281378/
75001,Swine Influenza A Viruses and the Tangled Relationship with Humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919397/
75002,Antigenic Characterization and Pandemic Risk Assessment of North American H1 Influenza A Viruses Circulating in Swine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9769642/
75003,"Antigenic and Genetic Characterization of Swine Influenza Viruses Identified in the European Region of Russia, 2014–2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8081852/
75004,H1N1 G4 swine influenza T cell epitope analysis in swine and human vaccines and circulating strains uncovers potential risk to swine and humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9835423/
75005,Divergent Human-Origin Influenza Viruses Detected in Australian Swine Populations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069171/
75006,Heterologous prime-boost H1N1 vaccination exacerbates disease following challenge with a mismatched H1N2 influenza virus in the swine model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10623127/
75007,Swine Influenza Virus: Current Status and Challenge,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7587018/
75008,Positive Selection in CD8+ T-Cell Epitopes of Influenza Virus Nucleoprotein Revealed by a Comparative Analysis of Human and Swine Viral Lineages,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4645657/
75009,Detection and Characterization of Swine Origin Influenza A(H1N1) Pandemic 2009 Viruses in Humans following Zoonotic Transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7944445/
75010,Induction of influenza-specific local CD8 T-cells in the respiratory tract after aerosol delivery of vaccine antigen or virus in the Babraham inbred pig,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5957346/
75011,Computationally optimized broadly reactive vaccine based upon swine H1N1 influenza hemagglutinin sequences protects against both swine and human isolated viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6773400/
75012,Antigenic Distance between North American Swine and Human Seasonal H3N2 Influenza A Viruses as an Indication of Zoonotic Risk to Humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8791259/
75013,Vaccination against swine influenza in pigs causes different drift evolutionary patterns upon swine influenza virus experimental infection and reduces the likelihood of genomic reassortments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10040791/
75014,Reverse-zoonoses of 2009 H1N1 pandemic influenza A viruses and evolution in United States swine results in viruses with zoonotic potential,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10374098/
75015,The beginning and ending of a respiratory viral pandemic‐lessons from the Spanish flu,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9049621/
75016,Fitness Determinants of Influenza A Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10535923/
75017,Higher virulence of swine H1N2 influenza viruses containing avian-origin HA and 2009 pandemic PA and NP in pigs and mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223331/
75018,Optimal Use of Vaccines for Control of Influenza A Virus in Swine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4494241/
75019,Zoonotic Animal Influenza Virus and Potential Mixing Vessel Hosts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10145017/
75020,Adaptation of Human Influenza Viruses to Swine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6349779/
75021,The global antigenic diversity of swine influenza A viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4846380/
75022,A Novel Neuraminidase Virus-Like Particle Vaccine Offers Protection Against Heterologous H3N2 Influenza Virus Infection in the Porcine Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9300842/
75023,Zoonotic Potential of Influenza A Viruses: A Comprehensive Overview,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6165440/
75024,Evolution of Swine Influenza Virus H3N2 in Vaccinated and Nonvaccinated Pigs after Previous Natural H1N1 Infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9505157/
75025,Sowing the Seeds of a Pandemic? Mammalian Pathogenicity and Transmissibility of H1 Variant Influenza Viruses from the Swine Reservoir,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473686/
75026,The genomic landscape of swine influenza A viruses in Southeast Asia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10438389/
