Id,Title,Link
80000,"Update: Interim Guidance for Health Care Providers Caring for Pregnant Women with Possible Zika Virus Exposure — United States (Including U.S. Territories), July 2017",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5657812/
80001,Transmission of Zika virus by dendritic cell subsets in skin and vaginal mucosa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10025456/
80002,Zika Virus Infection as a Cause of Congenital Brain Abnormalities and Guillain–Barré Syndrome: Systematic Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5207634/
80003,Prevalence of asymptomatic Zika virus infection: a systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996208/
80004,The Zika virus: Lurking behind the COVID‐19 pandemic?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7753281/
80005,Dengue and Zika Virus Diagnostic Testing for Patients with a Clinically Compatible Illness and Risk for Infection with Both Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6581290/
80006,Impact of flavivirus vaccine-induced immunity on primary Zika virus antibody response in humans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7021315/
80007,Cranial US in Infants Exposed to Zika Virus: The NATZIG Cohort,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8409108/
80008,Emergence of the Asian lineage of Zika virus in Angola: an outbreak investigation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6892302/
80009,Asian Zika virus can acquire generic African-lineage mutations during in utero infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10561574/
80010,Novel Therapeutic Nutrients Molecules That Protect against Zika Virus Infection with a Special Note on Palmitoleate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9823984/
80011,The Antigenic Structure of Zika Virus and Its Relation to Other Flaviviruses: Implications for Infection and Immunoprophylaxis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312239/
80012,CpG content in the Zika virus genome affects infection phenotypes in the adult brain and fetal lymph nodes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9379343/
80013,"Knowledge, Awareness, and Perception of Community Pharmacists to Zika Virus Infection in Klang Valley, Malaysia",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7263114/
80014,"Zika Virus Infection, Basic and Clinical Aspects: A Review Article",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6401583/
80015,Zika virus infection as a cause of congenital brain abnormalities and Guillain-Barré syndrome: A living systematic review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6852328/
80016,Performance of 2 Commercial Serologic Tests for Diagnosing Zika Virus Infection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537740/
80017,Animal Models of Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5482516/
80018,"Vital Signs: Zika-Associated Birth Defects and Neurodevelopmental Abnormalities Possibly Associated with Congenital Zika Virus Infection — U.S. Territories and Freely Associated States, 2018",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6089332/
80019,Zika Virus: Medical Countermeasure Development Challenges,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4774925/
80020,Genomic and phenotypic analyses suggest moderate fitness differences among Zika virus lineages,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9907835/
80021,Travel Surveillance and Genomics Uncover a Hidden Zika Outbreak during the Waning Epidemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6716374/
